	target_text	input_text	prefix
66	can you unplug the your power supply both from the wall and laptop, then blow the dust out with canned air?	hi all, I have a trivial issue where a specific application window appears in a fixed size and extends below the viewable desktop horizon.  Is there a way to drag window bars above the top of the screen to counter this? i dunno the answer but i like the way you wrote the question! 	CHAT
67	what type of nics have you tried	ok so I am back to square one here. my computer refuses to contact the router. I'm running Kubuntu 8.04 my hardware LEDs are working, I have set static ip info in /etc/network/interfaces and I have now tried 2 different ethernet cards (in different slots) with the same results! please help me! people last time seemed to think it was a hardware problem but I'm sure there's something were missing here! Maybe a cable problem? 	CHAT
68	could you please help me bro	hi is there a place on irc where i could download music ? = yes. 	CHAT
69	I believe that the .deb register them selfs as a package. so have you tried aptitude or synaptic ?	Where are the deb package scripts located? I need to manually delete one I am thinking somewhere in /var but that seems to be incorrect. 	CHAT
70	you might want to refer to #windows for that	still a problem: i recognized that there are no trash directory's on my ntfs and fat32 partitions, how can i restore them? 	CHAT
71	first of all can you ping that machine	support for irc for openssh? what do you mean *over* irc 	CHAT
72	can you give me an example of say howto rename My Documents to my.documents	hey guys is there a way from in a shell to rename a folder that contains spaces? 	CHAT
73	you might post a message to the mailing list	Hi there folks.  I'm willing to register whylinux.us or whyubuntu.com if someone will help me program the site to act as an advertising platform for Ubuntu.  I just visited that Windows Mojave site--yeah, that was crap.  But someone ought to speak up, get people to start making promo vids and host them on a site. https://wiki.ubuntu.com/MarketingTeam 	CHAT
74	just asking because you seemed like you might know. No idea myself how that would work.	could he use a route without a gateway? gabbah: yes... I think so.. 	CHAT
75	have you tried pitivi or openshot?	hey guys i've tried and failed to edit videos on my box with LiVES. what's another video editor that will edit videos (although i dislike comparing linux to m$) like Windoze Movie MAker? 	CHAT
76	yes, but you might not get an updated package, to get them go to wines webpage and add their own repository	does 'Sudo apt-get install wine' work for a wine installation? forthdimenison thank you 	CHAT
77	have you tried safe graphics mode?	i have a problem installing ubuntu on my new computer; when the system starts from the live CD, after a while the screen becomes black  and it stops can somebody tell me why? 	CHAT
78	ah, that's too bad. syndr0, can you return your webcam for an exchange?	!webcam > syndr0 some googling seems to suggest his brand is indeed not supported, though 	CHAT
79	: can you please describe the problem a bit more	i installed ubuntu 8.04 and i several times a day i've got an issue with the X that sometimes i can't run new programs in X not even gnome-terminal and i must reboot X for it to work. any ideas ? 	CHAT
80	question.... can you have wine programs run at startup of ubuntu?	salty food? 	CHAT
81	if you want to for space reasons, you might do that, though I don't know if that will do for dependency reasons	install kubuntu-desktop and then remove ubuntu-desktop? 	CHAT
82	did you try settings in system/preferences/sound?	Hi! Can someone help me? I just installed ubuntu and I cant hear any sound 	CHAT
83	must it be an editor or have you tried the 'diff' command?	Is there some sort of text editor in Ubuntu that will look at two documents and highlight the areas that are different? I'm trying to compare config files I think are corrupt and having this functionality would be very useful. 	CHAT
84	did you try .contacts in your home folder?	does anyone know where the application 'contacts' stores it's contacts? 	CHAT
85	: have you tried samba?	how do I mount a directory on a remote server over SSH? 	CHAT
86	did you try gparted?	i need a program that will make ntfs filesystems need program that will make ntfs partitions 	CHAT
87	did you try Ctrl-D?	I have run command 'echo </dev/null', now I am getting a visible ^C in gnome-terminal whenever I type control-C there. how can I correct that? 	CHAT
88	you might need to provide more info.  For example, I use many virtual machines with VMware Workstation, and as of V8, there are no issues with Oneiric.	I've upgraded to Oneiric but now my VM will not boot. It stalls after mounting the drives. If I follow the OMGBroken instructions, type 'mount / -o rw,remount' and then exec init it will boot but will fail on the next boot. Can anyone advise me on how to resolve this please? 	CHAT
89	thats really wierd, have you tried removing it from command line	For some reason my Firefox isnt working correctly, I have disabled all addons, completely removed it, reinstalled, and no change. When I open it, it doesn't go to my home page, the SSL exception won't popup, the address bar doesnt work, I cant bookmark anything, anyone have a suggestion? 	CHAT
90	thats really wierd, have you tried removing it from command like seamonkey	For some reason my Firefox isnt working correctly, I have disabled all addons, completely removed it, reinstalled, and no change. When I open it, it doesn't go to my home page, the SSL exception won't popup, the address bar doesnt work, I cant bookmark anything, anyone have a suggestion? thats really wierd, have you tried removing it from command line 	CHAT
91	you might want to try an older version of ubuntu or a newer version. i've had the issue before and found that it sometimes works... then maybe upgrade it to the latest version	anyone know what to do if a ubunut liveCD wont install on an older dell 	CHAT
92	could you please only do that every 10-15 minutes, it takes up a lot of space	I have a server running ubuntu 10.10 server ed. Sometimes (quite often) i can hear that it just starts to just spin up and work, and I dont really have any idea what its doing. How can i find out what it is actually doing? dmesg is probably the best way, ps -A 	CHAT
93	did you try to use 'man cp' to see if there is an appropriate option?	hi, anyone know if there is a way of making a copy (with files) of a directory structure, but I don't actually want to copy the files just wanting empty directories with empty files but using the same structure/names as the original? eg: just create a dummy copy 	CHAT
94	hey guys, could you give me a simple formula for installing a program in the 'tar.gz' format in LinuxMint? like how do i install a program called example.tar.gz?	hey guys, could you give me a simple formula for installing a program in the 'tar.gz' format in LinuxMint? 	CHAT
95	did you try creating one?	I'm having this issue here: http://askubuntu.com/questions/49179/cheese-not-working-with-latest-update-of-gstreamer however gstreamer0.10-gconf doesn't exist...any ideas? using maverick 	CHAT
96	I believe there is a guide in the documentation on the website, but do you have a more specific question you might want to ask? I could give you general advice if you like	how can i learn how to partition a hd? 	CHAT
97	you might try a boot cd with the software gparted.	Whats the best way to manage partitions, I would like to expand my extended partition by shrinking primary partition. but the problem is that the extended lies at the end of the disk. Is there a work around, I read about partition magic. Is it reliable 	CHAT
98	Hmm, that should work.  If it worked OK on 12.04 then you might need a 3.5.7-based kernel	What graphics hardware do you have and which driver are you using?  And what version of Ubuntu are you running? intel , 12.10 	CHAT
99	have you tried playing another music file? maybe the download is just no good,	i just downloaded and installed kmix but i can't find where to open it that doesn't work either :(  i have the volume turned up for all of them 	CHAT
100	have you tried auto-ndiswrapper?	two main things...1 my wireless doesn't work (i have a broadcom 43xx and i've done like 3 or 4 completely different fixes that have availed to nothing), and 2 when i resume from hibernate, my screen stays black, including no backlight (so how do i stop this from happening, besides ctrl+alt+f1, ctrl+alt+f7) if i can borrow someone for a few moments to tell me why this is even happening and how to fix it, i'd be very grateful 	CHAT
101	have you tried using WINE to install and use the Windows version of TS?	does anyone know how to make teamspeak work with PulseAudio?  it normally uses [oss /dev/dsp] any other thing i have to do? 	CHAT
102	your RAM can pretty much not need SWAP, however you might need it when hibernating	Is 5GB of swap useful? what is your RAM ? 	CHAT
103	can you open a terminal and type alsamixer and make sure none are muted	Hello, I need some help. When ubuntu starts, I can hear the 'thunk-thunk' sound, but once I login, sound doesn't work anymore. (I've noticed the default movie player just displays an 'no sound' thing instead of the normal volume adjuster) 	CHAT
104	If you have a nVidia or ATI card you might need to enable restricted drivers	how can i see if opengl is working glxinfo |grep direct 	CHAT
105	If it's a protected DVD, you might need some !restricted codecs	anyone know why when i try to play a DVD i keep geting a error occured cant need read from resource weird laptop is new and worked when i r an windows and it does it with all dvds 	CHAT
106	im sorry were we discussing something?  can you refresh my memory	Are you joking me? 	CHAT
107	can you see my text (checking that I can speak in channel without auth) ?	thanks Sr :) 	CHAT
108	with great difficulty, you might recover some data (if it is precious).  A working system is not worth the bother.	CAN SOMEONE HELP ME I ACCIDENTLY SUDO RM -RF MY WHOLE HARD DRIVE WHAT DO I DO step on: don't touch the disk.  Make it read-only. 	CHAT
109	have you tried restarting?	suddenly i cant start any consoles 	CHAT
110	can you solve this issue or not	Hmm.. it's getting really weird lol 	CHAT
111	can you tell me why you need blobs?	ext3 is kinda crap but it's also kind of a standard GNU/Hurd is more real then duke nukem forever. you can run GNU/Hurd 	CHAT
112	can you have a 64 bit install with 32 bit apps ??	bloody lirc 	CHAT
113	just make sure you back up any files you might want :p	you should dl ubuntu 8.04.1 install cd, will be much faster/ clean install Humm...Ok! All do a clean instalation like td123 said 	CHAT
114	sphct: have you tried installing an older version?	Anybody know what this message means: http://pastebin.ca/1062387 	CHAT
115	Also, you might need to root priviledges to edit that file	how do you do this? http://ubuntuforums.org/showpost.php?s=bb3d3cc7cf1f01388ddcf8bf53af7240&p=2397488&postcount=9 Open the file in any editor, and add that line to the end, or replace the line, if the existing configuration is present 	CHAT
116	Well, there must be a reason. But you might want to try ot for that. This is the official support channel	I can't get world of warcraft started on wine (wine channel is blocked invite only)--- Can anyone expierenced with wine/wow on wine help? #winehq is the channel 	CHAT
117	True, unless you are selling it to DoD, for which you might want to zero 40 times	Hi all. What are some ways of wiping disks before selling or giving them away (under linux)? I hear just using dd is fine. True? 	CHAT
118	 did you try this:  http://ge.ubuntuforums.com/showthread.php?s=a558d4782b97f6ba98380cd1d0d95190&t=766560   ?	Hi, all. Can anyone help me with configuring Broadcom 4310 wi-fi card?  http://ge.ubuntuforums.com/showthread.php?s=a558d4782b97f6ba98380cd1d0d95190&t=766560 	CHAT
119	have you tried mplayer?	what is the best movie player ?  totem is not working all the time. there is no real 'best', you can try VLC 	CHAT
120	have you tried checking in ur bios if the hdd is before the cd in the bootup sequence?	Hey hows it going everyone? I have a quick question, I am in Iraq right now, and i have my ubuntu CD, but for some reason my computer will not boot if from the CD.. I was able to install it from windows, but now windows is gone, and I am running from withing mandrake 10.1, its the only linux cd I could get that would boot, is it possible to install ubuntu from within mandrake? 	CHAT
121	could you give me some key word to search via web?	I disconnected internet, again: I am int in gdm graphical window manager > gnome hmm, not sure .. maybe you could try this command.    DISPLAY=:0.0 dolphin  # see if it helps 	CHAT
122	you might want to purge, to remove all the config files too if you're starting anew	ok did a apt-get remove openssh-server and the process went away going to reinstall and see that fixes things 	CHAT
123	you might also ask in #compiz	can someone help me with compiz window matching? i want to set the opacity of inactive(unfocused) window to 50% 	CHAT
124	you might want to consider a clean install ... especially if you have anyhting installed from getdeb	I am trying to upgrade to Ubuntu 8.10, but it will not let me. It gives error 'Could not calculate upgrade'. I have tried upgrading from CD and from network. What can I do? 	CHAT
125	have you tried to launch it from the termminal to check for any error msgs ?	I've been having troubles trying to get the synaptic package manager to open... it loads the splash screen for it then it never opens 	CHAT
126	have you tried visudo	hi i managed to bork my sudoers file, is there any way to change it without needing to boot form external media ? (su/sudo wont work any more) 	CHAT
127	vi has separate viewing and editing modes, you might want to try pico or nano as an editor	i want to create a .htaccess file, no problems, but I'm having issues saving it. i tried using 'vi .htaccess' but that tool seems to lack the edit option, think i need to download the full version. what other command line edit tool can I use? 	CHAT
128	i know about that but can you not stop the login without doing that?	is there a way to stop gdm autologin once, ussually i have my sisters computer login automatically but would like to be able to stop the autologin when i need to do something occassionally You could log out after it's already logged her in. 	CHAT
129	have you tried Picasa? http://picasa.google.com/linux/	What is a good photo manager? and/or if anything comes close to lightroom? 	CHAT
130	have you tried synaptic?	Anyone know how you can get apt-get or aptitude to force install packages if a dependency is missing? 	CHAT
131	have you tried asking in #xubuntu?	how to tell my wifi not to connect automatic to other networks in xubuntu ? 	CHAT
132	have you tried x360MediaServe?	Anyway I can do the media extender thing with Ubuntu that vista does with the xbox360? 	CHAT
133	- have you tried plugging the trouble devices into other USb ports? to see if your having trouble with the devices or the usb ports	I am having a USB problem, after a random amount of time my USB keyboard and USB external drive will stop working and the only way I can get it working again is to reboot but my USB mouse continues to work, anyone know a solution, I am using 8.04 	CHAT
134	have you tried booting into Recovery Mode? It's an option in the bootloader before Ubuntu starts loading	I upgraded to 8.04 now when ever I log in it just hangs there at a blank orange screen. 	CHAT
135	have you tried installing from synaptic?	lost network-manager and trying to install it from dpkg.  but it reports that a dependencyis missing - libnl1-pre6.  there is no such package, it is replaced by libnl1, which i have.  so, what next? 	CHAT
136	you might check NBC.com :D	anyone knows any working olympic stream? it's not offtopic if I'm trying to get something to work on ubuntu 	CHAT
137	we need more details, why isn't it working, have you tried to connect it... so on, and so on...	hi people can someone tell me how to get my external screen to work? 	CHAT
138	also you might want to do sudo aptitude update	when i install gnome do from synaptic it always downloads 0.4 version and i cant get the new version? try installing from term with sudo aptitude install gnome-desktop 	CHAT
139	could you elaborate a bit please, i'm new to ubuntu	Hi, i have an ubuntu machine. I'm on a university network, that has dynamic IP addresses assigned by DHCP. I want to share files on my machine, so that people can access me just by my computer name, and i want to access other windows shares by there computer names. Could anyone help please?   sfs-server + sfs-client 	CHAT
140	have you tried this thread http://askubuntu.com/questions/15520/how-can-i-tell-ubuntu-to-do-nothing-when-i-close-my-laptop-lid	!cracking | directX 	CHAT
141	did you try the force option ?	so, uh, could anybody help me with how to mount my old HD? it's a windows box that pretty much fails, but ubuntu won't let me mount it because it hasn't been able to properly shut down. i'm just trying to mount it so i can pull the files off of it to another external HD 	CHAT
142	did you try vlc _jdd) ?	by encoding with mencoder, but it won't play on the mp4 player. Is there some sort of app that can give me all the finicky details about an avi file? 	CHAT
143	you might be a bit more successful asking over in #cups to be honest.	anyone with a Canon Laser printer? 	CHAT
144	could you give a famous tool to do it ... i'm just an ubuntu newbie	ubuntux001-> risk gets higher if you use vista to resize..am not sure if the vista can format to a linux compatible formats so what should i do to increase space in my case ? 	CHAT
145	have you tried the ubuntu netbook remix? http://www.canonical.com/projects/ubuntu/nbr	Hey guys, I am trying to install ubuntu 8.10 on a eeepc. I created the bootable usb stick and booted the system already ... thing is I can't get another tty to set up the cdrom and I also can't use the install option (I press enter and nothing happens) ... any ideas on how I should proceed ? 	CHAT
146	you might get more help in #postfix or possibly #ubuntu-server	Can someone help me? My mail isn't getting from postfix to mailman. 	CHAT
147	perhaps you need proprietary drivers, have you tried installing those	hey oYeVoVeYo what's the issue 	CHAT
148	did you try settings -> displays	hi how can i setup the extended display monitor 	CHAT
149	have you tried installing flashplugin-nonfree via apt-get ot Synaptic ?	when i try to install adobe flash from firefox in gutsy, i am told that 'install-3uf..rdt' provided by adobe is not well-formed or does not exist.  how do i get flash working in gutsy ? 	CHAT
150	have you tried sudo synaptic ?	yes but in ubuntu there is sudo apt-get install and in freespire im not sure if i can do that to get the gamepack is there no package manager? 	CHAT
151	if you get a good answer could you pm me, i'd be interested to know, similar situation here	My EEE PC doesn't have enough disk space to allow me to upgrade to Karmic. Can I mount a flash drive to a specific directory so that it has room to download the packages, or is there another solution to this issue? 	CHAT
152	how indepth can you cope with? tremulous is great	anyone have good suggestions for some good 3d games? i have Nexuiz and Sauerbraten but I want some others 	CHAT
153	have you tried right clicking the time display in the panel, there's a place there to change time and date	how do I change my system time its stuck with Eastern time ... if I change it as root it works for that session but reverts back after a reboot 	CHAT
154	did you try right click on the speaker icon and see if headphones is checked?	hi every body! i've got a problem with alsa, when i connect an earphones the speakers still sounds. any one know how to repair this?? but im in ibex 	CHAT
155	can you make skype receive calls while rhythmbox is playing?	but its too bad my cards dont work with pulseaudio WOHOO 	CHAT
156	did you try alsamixer?	 my sound just tripped in the middle of watching flash clips, I rebooted 6 times and it still isnt working. I am on hardy I tried to force it through the sound preference and no joy.. I have no sound. am on hard hardy* 	CHAT
157	have you tried the wiki?	 i'm trying to use my motorola L7 mobile as a modem on ubuntu but ubuntu couldn't detect it as a modem, what do i do? i tried wvdialconf, but it failed came up with the message '...scanned serial ports, .......didn't detect any modem.........', but my phone is connected to usb port, please help me 	CHAT
158	have you tried google?	 i'm trying to use my motorola L7 mobile as a modem on ubuntu but ubuntu couldn't detect it as a modem, what do i do? i tried wvdialconf, but it failed came up with the message '...scanned serial ports, .......didn't detect any modem.........', but my phone is connected to usb port, please help me have you tried the wiki? 	CHAT
159	you might ask in #ubuntu-motu	Does anyone know which app adds the 'Original-Maintainer' line to the changes file of a package? 	CHAT
160	 can you do that using the 'mv' command?	how do i move all the files from blah/blah/foo.bar out of their 2nd level folders into the main folder so it goes blah/foo.bar ? basically a bunch of files in seperate sub directories to the main directory? the folders are in 	CHAT
161	have you tried the piratebay?	Hey guys. Anyone know where i can download an HP MIE image? It kind of does, seeing as all ubuntu versions i have tried do not work with my HP Mini 1000. And HP MIE is a custom Ubuntu distro. 	CHAT
162	If you're going to come in and ask a question like, 'how can I trick a script into thinking I have a different kernel version than I do' how can you not expect someone to warn you about how that's potentially dangerous.	is there a way to fake the kernel version, so some script believe I use some different kernel than the one I use really ? You could possibly edit the script, but chances are what you're doing is a bad idea :) 	CHAT
163	how can you modify what is listed under the Applications Pulldown?	Greetings 	CHAT
164	can you reach weather.com otherwise? is it resolvable? can you get to the internet?	another 	CHAT
165	: what are you trying to install, did you try the reps first	How do I install something in a Tar Archive? : extract it with - tar zxvf filename 	CHAT
166	 if you're gonna use internet explorer you might as well stick to windows	I have issues with ie7 for linux doesn't seem to work right. the ie6 works fine 	CHAT
167	have you tried unplugging the receiver and plugging it back in? Does wonders for my headset.	hi I booted my ubuntu box running 12.04v and usb mouse is not responding I restarted the machine and still nothing, can anyone assist or explain how to reaquire the mouse drivers 	CHAT
168	can you please tell me how can I open a manual page in firefox, because man:bash does not work?	hi all 	CHAT
169	have you tried disabling compiz since then?	Anyone with an idea before completely wipe this computer? I am having a problem with my newly installed nvidia card.  It worked great until compiz was turned on.  Now no menu bar at the top.  No unity bar on the side.  REally the computer is useless now 	CHAT
170	I think ndiswrapper comes with the LiveCD... can you just use that?	i got a question is there a .deb ndiswrapper file that i can save to a disc and use when installing another os? 	CHAT
171	you might want to check the 10 beta in that case http://ubuntuforums.org/showthread.php?p=4928900	has had nothing but problems with versions of flash 9 after r48 in fact I still use 9r48 even though it has a known critical exploit 	CHAT
